model,name,price,quantity,status
141434,"Akai ABTS-X10 Plus – Φορητό ηχείο Bluetooth 50W RMS Μαύρο",149,0,0
141435,"Kydos K32NH22CD02 – Τηλεόραση LED 32"" HD Ready",119,0,0
141453,"Panasonic TX-55MX600E – Τηλεόραση 55"" LED Smart 4K",399,0,0
141470,"Panasonic TX-43MX700E – Τηλεόραση 43"" Smart 4K UHD",349,0,0
141472,"TV Panasonic TX-55MX700E 55'' Smart 4K",469,0,0
141477,"TV Hisense 50A7KQ 50'' Smart 4K",499,0,0
141478,"TV Hisense 55A7KQ 55'' Smart 4K",569,0,0
141480,"TV Hisense 75A7KQ 75'' Smart 4K",999,0,0
141508,"LG RNC7 – Ηχοσύστημα",299,0,0
141509,"LG SQC1 – Soundbar",115,0,0
141515,"TCL 32S5400AF – Τηλεόραση 32"" Smart HD",159,0,0
141524,"Sony SRSXB100H – Φορητό Ηχείο",38.9,0,0
141538,"TV F&U FLS32229 32'' Smart HD",169,0,0
141563,"EA FC Sports 24 PS5 Sony",59,0,0
141568,"TCL 55C805 – Τηλεόραση 55"" Smart 4K UHD Mini LED C80 G",629,0,0
141594,"LG RNC5 – Ηχοσύστημα",189,2,1
141631,"Panasonic SC-PM700EG-S – Ηχοσύστημα Micro Silver",219,2,1
141634,"TV Panasonic TX-32MS490E 32'' Smart Full HD",249,0,0
141697,"Ηχοσύστημα Panasonic SC-DM202EG-K",149,0,0
141710,"Sony PS5 Console Slim",539,0,0
141755,"Κοντρόλ - Χειριστήριο Για Sony PS5 Dualsense Wireless V2 Λευκό",69,0,0
141865,"Sony SRS-XV500 – Φορητό Ηχείο Μαύρο Bluetooth με Φωτισμό",278,0,0
141866,"Samsung UE43DU7172 – Τηλεόραση 43"" Smart 4K UHD",349,0,0
141867,"Samsung UE50DU7172 – Τηλεόραση 50"" Smart 4K",399,0,0
141868,"Samsung UE55DU7172 – Τηλεόραση 55"" Smart 4K",439,0,0
141869,"Samsung UE65DU7172 – Τηλεόραση 65"" Smart 4K",589,0,0
141870,"TV Samsung UE75DU7172 75'' Smart 4K",899,0,0
141871,"TV Samsung UE85DU7172 85'' Smart 4K",2039,0,0
141874,"TV Samsung UE50DU8072 50'' Ultra HD Smart 4K",549,0,0
141875,"TV Samsung UE55DU8072 55'' Smart 4K Ultra HD",599,0,0
141878,"TV Samsung UE43DU8572 43'' Smart 4K UHD",639,0,0
141879,"TV Samsung UE50DU8572 50'' Smart 4K UHD",739,0,0
141880,"TV Samsung UE55DU8572 55'' Smart 4K",819,0,0
141881,"TV Samsung UE65DU8572 65'' Smart 4K",599,0,0
141882,"TV Samsung UE75DU8572 75'' Smart 4K",1369,0,0
141883,"Samsung QE43Q60D – Τηλεόραση 43"" Smart 4K",829,0,0
141884,"Samsung QE50Q60D – Τηλεόραση 50"" Smart 4K",969,0,0
141885,"Samsung QE55Q60D – Τηλεόραση 55"" Smart 4K",659,0,0
141886,"Samsung QE65Q60D – Τηλεόραση 65"" Smart 4K",1299,0,0
141889,"Samsung QE55Q70D – Τηλεόραση 55"" Smart 4K",699,0,0
141890,"Samsung QE65Q70D – Τηλεόραση 65"" Smart 4K",899,0,0
141891,"TV Samsung QE75Q70D 75'' Smart 4K",2139,0,0
141907,"Samsung QE55QN90D – Τηλεόραση 55"" Smart 4K Ultra HD",1849,0,0
141910,"TV Samsung QE85QN90D 85'' Smart 4K Ultra HD",5999,0,0
141911,"TV Samsung QE98QN90D 98'' Smart 4K Ultra Hd",13499,0,0
141912,"Samsung QE55QN95D – Τηλεόραση 55"" Smart 4K Ultra Hd",2259,0,0
141913,"TV Samsung QE65QN95D 65'' Smart 4K Ultra HD",2979,0,0
141914,"TV Samsung QE75QN95D 75'' Smart 4K Ultra Hd",4999,0,0
141915,"TV Samsung QE85QN95D 85'' Smart 4K Ultra HD",6599,0,0
141916,"TV Samsung QE65QN800D 65'' Smart 8K Ultra Hd",3999,0,0
141917,"TV Samsung QE75QN800D 75'' Smart 8K Ultra HD",5699,0,0
141918,"TV Samsung QE85QN800D 85'' Smart 8K Ultra Hd",7999,0,0
141919,"TV Samsung QE65QN900D 65'' Smart 8K Ultra Hd",5799,0,0
141920,"TV Samsung QE75QN900D 75'' Smart 8K Ultra Hd",7299,0,0
141924,"TV Samsung QE55LS03DAUXXH 55'' Smart 4K",1499,0,0
141930,"F&U FL24117 – Τηλεόραση 24"" HD",139,0,0
141940,"Sony ULT FIELD 1 – Φορητό Ασύρματο Ηχείο Bluetooth Μαύρο",99,0,0
141943,"Sony ULT FIELD 1 – Φορητό Ηχείο Λευκό",79,0,0
141961,"LG OLED65B46LA – Τηλεόραση 65"" Smart 4K",1378,0,0
141963,"LG OLED48C46LA – Τηλεόραση 48"" OLED 4K UHD",985,0,0
141965,"LG 50QNED87T6B – Τηλεόραση 50"" Smart 4K",1099,0,0
141966,"LG 55QNED87T6B – Τηλεόραση 55"" Smart 4K",1199,0,0
141967,"LG 65QNED87T6B – Τηλεόραση 65"" Smart 4K",824,0,0
141968,"LG 43UT73006LA – Τηλεόραση 43"" Smart 4K UHD",334,1,1
141969,"LG 55UT73006LA – Τηλεόραση 55"" Smart 4K",399,0,0
141984,"TV F&U FLG40140H 40'' FHD",199,0,0
141985,"LG S40T – Soundbar 300W",139.9,3,1
142082,"TCL 43P655 – Τηλεόραση 43"" Smart 4K",249,0,0
142113,"Kydos Τηλεόραση K32AH22SD01 32'' Smart HD Ready LED",129,0,0
142186,"Kydos K32AH22SD01BV2 – Τηλεόραση LED 32"" HD Ready",139,0,0
142212,"LG SQM1 – Soundbar 2.0ch 40W Dolby Digital",69,1,1
142217,"TCL 43C655 – Τηλεόραση QLED 43"" Smart 4K",329,0,0
142219,"TCL 55C655 – Τηλεόραση 55"" Smart 4K",379,0,0
142221,"TCL 75C655 – Τηλεόραση 75"" Smart 4K UHD",679,0,0
142231,"Kydos K43AF22SD01B – Τηλεόραση Smart LED 43"" Full HD HDR",199,0,0
142324,"Panasonic TV-32S55AEZ – Τηλεόραση 32"" Full HD LED Fire TV HDR",219,0,0
142325,"Panasonic TV-40S55AEZ – Τηλεόραση 40"" Full HD LED Fire TV HDR",299,0,0
142334,"Panasonic TB-32S45AEZ – Τηλεόραση Smart 32"" Full HD",239,0,0
142337,"Panasonic TB-32S40AEZ – Τηλεόραση 32"" Smart HD",219,0,0
142338,"Panasonic TN-43W70AEZ – Τηλεόραση 43"" 4K UHD Smart Google TV HDR",298,1,1
142371,"LG S80TR – Soundbar 5.1.3ch 580W Dolby Atmos",549,1,1
142374,"LG OLED48B46LA – Τηλεόραση 48"" Smart 4K",789,0,0
142442,"Kydos K32NH22CD – Τηλεόραση LED 32"" HD Ready",109,0,0
142451,"LG S70TR – Soundbar",419,0,0
142464,"LG RNC9 – Ηχοσύστημα",379,1,1
142584,"LG CK43N – Ηχοσύστημα XBOOM 2.0 300W με Bluetooth & Media Player Μαύρο",122,2,1
142591,"F&U FLG50141QL – Τηλεόραση 50"" Smart 4K",339,0,0
142598,"TCL 65C6K – Τηλεόραση 65"" Smart 4K LED",709,1,1
142599,"TCL 65C6KS – Τηλεόραση 65"" Smart 4K LED",578,3,1
142600,"TCL 85C6K – Τηλεόραση 85"" Smart 4K LED",1685,0,0
142601,"TCL 98C6K – Τηλεόραση 98"" Smart 4K LED",1835,0,0
142602,"TCL 75P7K – Τηλεόραση 75"" Smart 4K UHD QLED",639,0,0
142644,"TCL Τηλεόραση 50C6K 50'' Smart 4K LED",474,0,0
142645,"TCL 55C6K – Τηλεόραση 55"" Smart 4K LED",525,0,0
142646,"TCL 75C6K – Τηλεόραση 75"" Smart 4K LED",989,1,1
142647,"TCL 50C6KS – Τηλεόραση 50"" Smart 4K LED",449,0,0
142648,"TCL 55C6KS – Τηλεόραση 55"" Smart 4K LED",479,1,1
142649,"TCL 75C6KS – Τηλεόραση 75"" Smart 4K LED",944,1,1
142651,"TCL Τηλεόραση 43P7K 43'' Smart 4K UHD LED",329,0,0
142652,"TCL Τηλεόραση 50P7K 50'' Smart 4K UHD LED",363,0,0
142653,"TCL 55P7K – Τηλεόραση 55"" Smart 4K UHD LED",377,1,1
142654,"TCL 65P7K – Τηλεόραση 65"" Smart 4K UHD LED",447,4,1
142655,"TCL 85P7K – Τηλεόραση 85"" Smart 4K UHD LED",838,0,0
